time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit,Executed price,Take Profit,Stop Loss
2021-06-01 00:00:00+00:00,0.77308,0.77357,0.77276,0.7734,0.77308,0.77381,0,hold,0.0,0,0,,,
2021-06-01 01:00:00+00:00,0.77342,0.77436,0.77341,0.77435,0.77342,0.77359,0,hold,0.0,0,0,,,
2021-06-01 02:00:00+00:00,0.77434,0.77462,0.77414,0.77433,0.77434,0.77436,0,hold,0.0,0,0,,,
2021-06-01 03:00:00+00:00,0.77433,0.77481,0.77384,0.77478,0.77433,0.77434,0,hold,0.0,0,0,,,
2021-06-01 04:00:00+00:00,0.77478,0.7767,0.77472,0.77635,0.77478,0.7748,0,hold,0.0,0,0,,,
2021-06-01 05:00:00+00:00,0.77635,0.77683,0.77612,0.77628,0.77635,0.77637,0,hold,0.0,0,0,,,
2021-06-01 06:00:00+00:00,0.77628,0.77661,0.77614,0.77636,0.77628,0.77629,0,hold,0.0,0,0,,,
2021-06-01 07:00:00+00:00,0.77636,0.77638,0.77381,0.7745,0.77636,0.77637,0,hold,0.0,0,0,,,
2021-06-01 08:00:00+00:00,0.7745,0.77478,0.77398,0.7743,0.7745,0.77451,0,hold,0.0,0,0,,,
2021-06-01 09:00:00+00:00,0.77429,0.77459,0.77338,0.77438,0.77429,0.77431,0,hold,0.0,0,0,,,
2021-06-01 10:00:00+00:00,0.77439,0.77679,0.77404,0.77633,0.77439,0.77439,0,hold,0.0,0,0,,,
2021-06-01 11:00:00+00:00,0.77632,0.77644,0.77356,0.77425,0.77632,0.77635,0,hold,0.0,0,0,,,
2021-06-01 12:00:00+00:00,0.77425,0.7749,0.77369,0.77397,0.77425,0.77426,0,hold,0.0,0,0,,,
2021-06-01 13:00:00+00:00,0.77397,0.77397,0.77308,0.7734,0.77397,0.77399,0,hold,0.0,0,0,,,
2021-06-01 14:00:00+00:00,0.7734,0.77414,0.77329,0.77387,0.7734,0.77343,0,hold,0.0,0,0,,,
2021-06-01 15:00:00+00:00,0.77387,0.77446,0.77339,0.77405,0.77387,0.77387,0,hold,0.0,0,0,,,
2021-06-01 16:00:00+00:00,0.77405,0.77479,0.77338,0.77434,0.77405,0.77406,0,hold,0.0,0,0,,,
2021-06-01 17:00:00+00:00,0.77434,0.77617,0.77434,0.77613,0.77434,0.77441,0,hold,0.0,0,0,,,
2021-06-01 18:00:00+00:00,0.77613,0.77693,0.77594,0.77642,0.77613,0.77613,0,hold,0.0,0,0,,,
2021-06-01 19:00:00+00:00,0.77642,0.77644,0.77556,0.7758,0.77642,0.77643,0,hold,0.0,0,0,,,
2021-06-01 20:00:00+00:00,0.7758,0.77601,0.7753,0.77593,0.7758,0.7758,0,hold,0.0,0,0,,,
2021-06-01 21:00:00+00:00,0.77593,0.77643,0.77584,0.77643,0.77593,0.77594,0,hold,0.0,0,0,,,
2021-06-01 22:00:00+00:00,0.7764,0.77642,0.77542,0.77553,0.7764,0.77641,0,hold,0.0,0,0,,,
2021-06-01 23:00:00+00:00,0.77553,0.77553,0.77509,0.77509,0.77553,0.77555,0,hold,0.0,0,0,,,
2021-06-02 00:00:00+00:00,0.77502,0.77541,0.7744,0.77489,0.77502,0.77577,0,hold,0.0,0,0,,,
2021-06-02 01:00:00+00:00,0.77491,0.77544,0.77491,0.7752,0.77491,0.77509,0,hold,0.0,0,0,,,
2021-06-02 02:00:00+00:00,0.77519,0.7756,0.77504,0.77557,0.77519,0.77524,0,hold,0.0,0,0,,,
2021-06-02 03:00:00+00:00,0.77557,0.77694,0.77547,0.77611,0.77557,0.77559,0,hold,0.0,0,0,,,
2021-06-02 04:00:00+00:00,0.77611,0.77731,0.77592,0.77633,0.77611,0.77612,0,hold,0.0,0,0,,,
2021-06-02 05:00:00+00:00,0.77632,0.77676,0.77591,0.77606,0.77632,0.77634,0,hold,0.0,0,0,,,
2021-06-02 06:00:00+00:00,0.77606,0.77651,0.77596,0.77612,0.77606,0.77608,0,hold,0.0,0,0,,,
2021-06-02 07:00:00+00:00,0.77614,0.77615,0.77463,0.77467,0.77614,0.77615,0,hold,0.0,0,0,,,
2021-06-02 08:00:00+00:00,0.77468,0.77506,0.77434,0.77439,0.77468,0.77469,0,hold,0.0,0,0,,,
2021-06-02 09:00:00+00:00,0.77439,0.77439,0.7726,0.77326,0.77439,0.77441,0,hold,0.0,0,0,,,
