time,open,high,low,close,bid,ask
2017-01-02 00:15:00,1.05167,1.05176,1.05098,1.05148,1.05153,1.05258
2017-01-02 00:30:00,1.05148,1.05191,1.0514000000000001,1.0515,1.05148,1.05265
2017-01-02 00:45:00,1.05162,1.05192,1.05142,1.05168,1.0515,1.05267
2017-01-02 01:00:00,1.05172,1.0527,1.05172,1.05239,1.05174,1.05235
2017-01-02 01:15:00,1.05239,1.05239,1.0518,1.05236,1.05239,1.05336
2017-01-02 01:30:00,1.05213,1.05275,1.05192,1.05234,1.05236,1.05351
2017-01-02 01:45:00,1.05236,1.05238,1.05192,1.05224,1.05234,1.05349
2017-01-02 02:00:00,1.05223,1.05224,1.05155,1.0519,1.05224,1.05294
2017-01-02 02:15:00,1.05192,1.05214,1.05186,1.05193,1.0519,1.05302
2017-01-02 02:30:00,1.05214,1.05214,1.05178,1.05189,1.05193,1.05283
2017-01-02 02:45:00,1.05192,1.05205,1.05175,1.05193,1.05189,1.05292
2017-01-02 03:00:00,1.05192,1.05205,1.05176,1.05198,1.05193,1.0529
2017-01-02 03:15:00,1.05198,1.05236,1.05175,1.052,1.05198,1.05299
2017-01-02 03:30:00,1.05198,1.05205,1.0518,1.05197,1.052,1.05255
2017-01-02 03:45:00,1.05197,1.05197,1.05179,1.05189,1.05197,1.05241
2017-01-02 04:00:00,1.05189,1.05197,1.05145,1.05159,1.05189,1.0525
2017-01-02 04:15:00,1.05181,1.05181,1.05127,1.05167,1.0518,1.05226
2017-01-02 04:30:00,1.05167,1.05167,1.05141,1.05154,1.05167,1.05228
2017-01-02 04:45:00,1.05141,1.0516,1.05141,1.05152,1.05154,1.05221
2017-01-02 05:00:00,1.05151,1.05171,1.05144,1.05171,1.05152,1.05238
2017-01-02 05:15:00,1.05155,1.05171,1.05138,1.05151,1.05147,1.05229
2017-01-02 05:30:00,1.05151,1.05188,1.0513,1.0518,1.05151,1.05198
2017-01-02 05:45:00,1.0515,1.05214,1.05142,1.0518399999999999,1.0515,1.05233
2017-01-02 06:00:00,1.0518399999999999,1.0519,1.0513,1.05179,1.0518399999999999,1.05249
2017-01-02 06:15:00,1.05179,1.05179,1.05121,1.05142,1.05182,1.05244
2017-01-02 06:30:00,1.05142,1.05148,1.05142,1.05146,1.05142,1.05187
2017-01-02 06:45:00,1.05146,1.0515,1.05136,1.05142,1.05146,1.05187
2017-01-02 07:00:00,1.05142,1.05148,1.05139,1.05147,1.05142,1.05204
2017-01-02 07:15:00,1.05147,1.05164,1.0513,1.05147,1.05147,1.05204
