time,open,high,low,close,bid,ask
2021-07-01 00:00:00,1.18581,1.18591,1.18557,1.1857,1.1856200000000001,1.18592
2021-07-01 00:15:00,1.1857,1.18584,1.18561,1.18564,1.18558,1.18588
2021-07-01 00:30:00,1.18564,1.18578,1.1856200000000001,1.1857199999999999,1.18561,1.18591
2021-07-01 00:45:00,1.1857199999999999,1.18592,1.1856,1.18576,1.18536,1.18566
2021-07-01 01:00:00,1.18576,1.18588,1.18568,1.18575,1.18563,1.18593
2021-07-01 01:15:00,1.18574,1.18579,1.1857,1.18576,1.1857199999999999,1.18602
2021-07-01 01:30:00,1.18576,1.18576,1.1855,1.18552,1.18567,1.18597
2021-07-01 01:45:00,1.18552,1.18578,1.18546,1.18578,1.18547,1.18577
2021-07-01 02:00:00,1.18578,1.18591,1.18576,1.18585,1.18546,1.18576
2021-07-01 02:15:00,1.18585,1.18603,1.18579,1.18581,1.18521,1.18551
2021-07-01 02:30:00,1.18582,1.18582,1.18555,1.1856200000000001,1.185,1.1853
2021-07-01 02:45:00,1.1856200000000001,1.18563,1.18554,1.18561,1.18503,1.18533
2021-07-01 03:00:00,1.18561,1.18566,1.18522,1.18537,1.18474,1.18504
2021-07-01 03:15:00,1.18537,1.18543,1.18482,1.18515,1.18525,1.18555
2021-07-01 03:30:00,1.18514,1.18531,1.1851,1.18517,1.18491,1.18521
2021-07-01 03:45:00,1.18517,1.18532,1.18466,1.18486,1.18498,1.1852800000000001
2021-07-01 04:00:00,1.18487,1.18541,1.18487,1.1854,1.18506,1.18536
2021-07-01 04:15:00,1.1854,1.18544,1.1850100000000001,1.18505,1.18487,1.18517
2021-07-01 04:30:00,1.18505,1.18537,1.18502,1.18513,1.18483,1.18513
2021-07-01 04:45:00,1.18513,1.18521,1.18475,1.1852,1.1847699999999999,1.18507
2021-07-01 05:00:00,1.1852,1.1852,1.1849,1.18502,1.18488,1.18518
2021-07-01 05:15:00,1.18502,1.1851099999999999,1.18488,1.18496,1.18471,1.1850100000000001
2021-07-01 05:30:00,1.18497,1.18509,1.18491,1.18491,1.18489,1.18519
2021-07-01 05:45:00,1.18494,1.18509,1.18494,1.18502,1.18488,1.18518
2021-07-01 06:00:00,1.1850100000000001,1.1850100000000001,1.1847,1.18486,1.18491,1.18521
2021-07-01 06:15:00,1.18486,1.18507,1.18483,1.18503,1.18491,1.18521
2021-07-01 06:30:00,1.18502,1.1851099999999999,1.18499,1.18502,1.18472,1.18502
2021-07-01 06:45:00,1.18502,1.18518,1.18496,1.18506,1.1847699999999999,1.18507
2021-07-01 07:00:00,1.18506,1.1851099999999999,1.18494,1.18506,1.1847699999999999,1.18507
2021-07-01 07:15:00,1.18506,1.18508,1.18486,1.18486,1.18451,1.18481
2021-07-01 07:30:00,1.18486,1.18492,1.18463,1.18492,1.1837900000000001,1.18409
2021-07-01 07:45:00,1.18492,1.18497,1.18489,1.18492,1.18405,1.18435
2021-07-01 08:00:00,1.18492,1.18493,1.18459,1.18465,1.18422,1.18452
2021-07-01 08:15:00,1.18465,1.18468,1.1839,1.18394,1.18407,1.18437
2021-07-01 08:30:00,1.18394,1.18422,1.1839,1.1842,1.18364,1.18394
2021-07-01 08:45:00,1.1842,1.18436,1.18412,1.18435,1.18431,1.18461
2021-07-01 09:00:00,1.18435,1.18448,1.18387,1.18421,1.18532,1.1856200000000001
2021-07-01 09:15:00,1.18421,1.18431,1.18376,1.18378,1.1857199999999999,1.18602
