time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit,Executed price
2017-08-23 00:00:00+00:00,0.79109,0.79177,0.78821,0.79028,0.79109,0.79116,0,hold,0.0,0,0,
2017-08-24 00:00:00+00:00,0.79025,0.7916,0.78665,0.79009,0.79025,0.79053,0,hold,0.0,0,0,
2017-08-25 00:00:00+00:00,0.78971,0.79541,0.78853,0.79307,0.78971,0.7907,0,hold,0.0,0,0,
2017-08-28 00:00:00+00:00,0.79215,0.79729,0.79184,0.79634,0.7919,0.79261,0,hold,0.0,0,0,
2017-08-29 00:00:00+00:00,0.79624,0.79829,0.79054,0.79522,0.79625,0.79636,0,hold,0.0,0,0,
2017-08-30 00:00:00+00:00,0.79455,0.79957,0.789,0.79008,0.79455,0.79541,0,hold,0.0,0,0,
2017-08-31 00:00:00+00:00,0.78991,0.79502,0.78713,0.79455,0.78991,0.79089,0,hold,0.0,0,0,
2017-09-01 00:00:00+00:00,0.79458,0.79947,0.79216,0.79673,0.79459,0.79466,0,hold,0.0,0,0,
2017-09-04 00:00:00+00:00,0.79478,0.79726,0.79415,0.79446,0.79478,0.79496,0,hold,0.0,0,0,
2017-09-05 00:00:00+00:00,0.79406,0.80284,0.79406,0.79962,0.79406,0.79463,0,hold,0.0,0,0,
2017-09-06 00:00:00+00:00,0.79956,0.80211,0.79634,0.79998,0.79956,0.79967,0,hold,0.0,0,0,
2017-09-07 00:00:00+00:00,0.79976,0.80488,0.79744,0.80461,0.79976,0.80026,0,hold,0.0,0,0,
2017-09-08 00:00:00+00:00,0.80464,0.8125,0.80427,0.80527,0.80464,0.80481,0,hold,0.0,0,0,
2017-09-11 00:00:00+00:00,0.80549,0.80584,0.80186,0.80297,0.80549,0.80562,0,hold,0.0,0,0,
2017-09-12 00:00:00+00:00,0.80268,0.80492,0.79985,0.80199,0.80268,0.80304,0,hold,0.0,0,0,
2017-09-13 00:00:00+00:00,0.80141,0.80441,0.79704,0.79858,0.8015,0.80279,-1,short,-1.0,0,0,0.8015
2017-09-14 00:00:00+00:00,0.79849,0.80165,0.79556,0.80058,0.7985,0.79864,0,close short,0.0,0.0026599999999999736,0.0026599999999999736,0.79864
2017-09-15 00:00:00+00:00,0.80022,0.80351,0.79867,0.80007,0.80022,0.80056,0,hold,0.0,0,0.0026599999999999736,
2017-09-18 00:00:00+00:00,0.79975,0.8035,0.79399,0.79603,0.79975,0.80024,0,hold,0.0,0,0.0026599999999999736,
