Time Difference,# Frequency Deviations,# Occurrences,% Data
0 days 00:01:00,1.0,331001,99.878396
0 days 00:02:00,2.0,285,0.085998
0 days 00:03:00,3.0,28,0.008449
0 days 00:04:00,4.0,15,0.004526
0 days 00:05:00,5.0,8,0.002414
0 days 00:06:00,6.0,4,0.001207
0 days 00:07:00,7.0,5,0.001509
0 days 00:08:00,8.0,3,0.000905
0 days 00:10:00,10.0,2,0.000603
0 days 00:11:00,11.0,3,0.000905
0 days 00:14:00,14.0,1,0.000302
0 days 00:18:00,18.0,1,0.000302
0 days 00:32:00,32.0,1,0.000302
0 days 06:17:00,377.0,1,0.000302
2 days 00:04:00,2884.0,29,0.008751
2 days 00:05:00,2885.0,4,0.001207
2 days 00:07:00,2887.0,1,0.000302
2 days 00:08:00,2888.0,7,0.002112
2 days 00:09:00,2889.0,3,0.000905
2 days 04:02:00,3122.0,2,0.000603
